giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
23,TEAM HAIR FLICK,TOMATO,away,2,2,D,74.0,433,0.5,
23,TEAM YANGTUO,BOBOTOTTI,home,1,1,D,71.0,442,1.0,2.0
23,BOBOTOTTI,TEAM YANGTUO,away,1,1,D,69.0,433,1.0,
23,TEAM GLIDER,TEAM WOLFLING,home,2,3,L,76.5,343,,2.0
23,TEAM WOLFLING,TEAM GLIDER,away,3,2,W,81.5,541,1.0,
23,ASS ASS IN FC,CHELSEA,home,1,0,W,68.0,433,2.0,2.0
23,CHELSEA,ASS ASS IN FC,away,0,1,L,65.5,343,,
24,PAUL POGSHAO,TEAM GLIDER,home,3,1,W,83.5,433,1.0,2.0
24,TEAM GLIDER,PAUL POGSHAO,away,1,3,L,70.0,352,,
24,TEAM WOLFLING,ASS ASS IN FC,home,0,1,L,65.0,541,0.5,2.0
24,ASS ASS IN FC,TEAM WOLFLING,away,1,0,W,67.0,433,0.5,
24,BOBOTOTTI,TOMATO,home,1,1,D,67.0,442,1.0,2.0
24,TOMATO,BOBOTOTTI,away,1,1,D,71.0,352,,
24,CHELSEA,TEAM YANGTUO,home,1,3,L,71.5,352,,2.0
24,TEAM YANGTUO,CHELSEA,away,3,1,W,78.0,343,,
24,TEAM HAIR FLICK,VINCENZO,home,2,1,W,73.5,433,0.5,2.0
24,VINCENZO,TEAM HAIR FLICK,away,1,2,L,68.5,343,,
25,VINCENZO,TOMATO,home,1,0,W,68.5,442,1.0,2.0
25,TOMATO,VINCENZO,away,0,1,L,63.0,352,,
25,TEAM YANGTUO,TEAM WOLFLING,home,3,2,W,78.5,442,1.0,2.0
25,TEAM WOLFLING,TEAM YANGTUO,away,2,3,L,77.5,451,1.0,
25,TEAM GLIDER,TEAM HAIR FLICK,home,2,1,W,76.0,433,1.0,2.0
25,TEAM HAIR FLICK,TEAM GLIDER,away,1,2,L,68.0,433,0.5,
25,ASS ASS IN FC,PAUL POGSHAO,home,3,5,L,80.0,433,0.5,2.0
25,PAUL POGSHAO,ASS ASS IN FC,away,5,3,W,91.5,433,3.0,
25,CHELSEA,BOBOTOTTI,home,0,1,L,61.0,352,,2.0
25,BOBOTOTTI,CHELSEA,away,1,0,W,70.0,442,1.0,
26,VINCENZO,BOBOTOTTI,home,2,3,L,77.5,433,1.0,2.0
26,BOBOTOTTI,VINCENZO,away,3,2,W,79.0,442,1.0,
26,TOMATO,TEAM GLIDER,home,0,2,L,65.5,343,,2.0
26,TEAM GLIDER,TOMATO,away,2,0,W,75.5,433,1.0,
26,PAUL POGSHAO,TEAM YANGTUO,home,2,1,W,72.5,433,,2.0
26,TEAM YANGTUO,PAUL POGSHAO,away,1,2,L,67.0,451,0.5,
