giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
30,MARIO GO,TEAM CHENFENGZI,away,4,2,W,84.0,442,2.0,
30,X-17,XIAO SHI,home,0,0,D,65.5,352,,2.0
30,XIAO SHI,X-17,away,0,0,D,62.0,442,1.0,
31,MARIO GO,BOSS ROMAZDA,home,3,1,W,78.5,442,1.0,2.0
31,BOSS ROMAZDA,MARIO GO,away,1,3,L,70.5,343,,
31,TEAM SITH,X-17,home,2,1,W,73.5,442,,2.0
31,X-17,TEAM SITH,away,1,2,L,67.0,352,,
31,BALZARETTI42,MIZI-MAIGO,home,1,0,W,70.0,343,,2.0
31,MIZI-MAIGO,BALZARETTI42,away,0,1,L,62.5,352,,
31,XIAO SHI,TEAM CHENFENGZI,home,1,0,W,69.0,442,1.0,2.0
31,TEAM CHENFENGZI,XIAO SHI,away,0,1,L,65.5,352,,
31,SANSHIMI,TEAM BRAUNA,home,1,2,L,67.0,343,,2.0
31,TEAM BRAUNA,SANSHIMI,away,2,1,W,73.0,433,1.0,
32,X-17,BALZARETTI42,home,1,1,D,70.5,352,,2.0
32,BALZARETTI42,X-17,away,1,1,D,71.0,343,,
32,XIAO SHI,TEAM SITH,home,1,2,L,70.5,442,1.0,2.0
32,TEAM SITH,XIAO SHI,away,2,1,W,76.0,442,1.0,
32,TEAM CHENFENGZI,BOSS ROMAZDA,home,0,1,L,60.5,352,,2.0
32,BOSS ROMAZDA,TEAM CHENFENGZI,away,1,0,W,68.0,343,,
32,MIZI-MAIGO,SANSHIMI,home,3,3,D,78.5,352,,2.0
32,SANSHIMI,MIZI-MAIGO,away,3,3,D,83.0,343,,
32,TEAM BRAUNA,MARIO GO,home,3,1,W,78.5,433,1.0,2.0
32,MARIO GO,TEAM BRAUNA,away,1,3,L,67.0,442,,
33,SANSHIMI,X-17,home,1,0,W,70.5,343,,2.0
33,X-17,SANSHIMI,away,0,1,L,60.0,442,,
33,MARIO GO,MIZI-MAIGO,home,1,2,L,70.5,442,,2.0
33,MIZI-MAIGO,MARIO GO,away,2,1,W,73.5,352,,
33,TEAM SITH,TEAM CHENFENGZI,home,2,2,D,75.0,442,1.0,2.0
33,TEAM CHENFENGZI,TEAM SITH,away,2,2,D,77.0,352,,
33,BOSS ROMAZDA,TEAM BRAUNA,home,1,0,W,68.5,343,,2.0
33,TEAM BRAUNA,BOSS ROMAZDA,away,0,1,L,63.5,343,,
33,BALZARETTI42,XIAO SHI,home,0,2,L,63.0,442,,2.0
33,XIAO SHI,BALZARETTI42,away,2,0,W,72.0,442,2.0,
34,TEAM SITH,BALZARETTI42,home,0,0,D,65.0,442,0.5,2.0
34,BALZARETTI42,TEAM SITH,away,0,0,D,63.5,352,,
34,MIZI-MAIGO,BOSS ROMAZDA,home,1,4,L,68.5,442,1.0,2.0
34,BOSS ROMAZDA,MIZI-MAIGO,away,4,1,W,84.0,343,,
34,XIAO SHI,SANSHIMI,home,1,3,L,71.5,442,0.5,2.0
34,SANSHIMI,XIAO SHI,away,3,1,W,80.0,343,,
34,X-17,MARIO GO,home,2,1,W,73.5,343,,2.0
34,MARIO GO,X-17,away,1,2,L,71.0,442,2.0,
34,TEAM CHENFENGZI,TEAM BRAUNA,home,2,2,D,76.0,352,,2.0
34,TEAM BRAUNA,TEAM CHENFENGZI,away,2,2,D,73.0,343,,
35,TEAM CHENFENGZI,BALZARETTI42,home,2,1,W,75.0,352,,2.0
35,BALZARETTI42,TEAM CHENFENGZI,away,1,2,L,66.5,343,,
35,SANSHIMI,TEAM SITH,home,0,1,L,65.0,343,,2.0
35,TEAM SITH,SANSHIMI,away,1,0,W,70.0,442,,
35,BOSS ROMAZDA,X-17,home,2,0,W,73.5,343,,2.0
35,X-17,BOSS ROMAZDA,away,0,2,L,63.0,343,,
35,TEAM BRAUNA,MIZI-MAIGO,home,1,1,D,69.0,343,,2.0
35,MIZI-MAIGO,TEAM BRAUNA,away,1,1,D,67.5,442,,
35,MARIO GO,XIAO SHI,home,2,2,D,76.0,442,1.0,2.0
35,XIAO SHI,MARIO GO,away,2,2,D,72.5,532,1.0,
36,XIAO SHI,BOSS ROMAZDA,home,0,2,L,65.5,532,0.5,2.0
36,BOSS ROMAZDA,XIAO SHI,away,2,0,W,72.0,343,,
36,BALZARETTI42,SANSHIMI,home,1,0,W,69.5,352,,2.0
36,SANSHIMI,BALZARETTI42,away,0,1,L,59.5,343,,
36,MIZI-MAIGO,TEAM CHENFENGZI,home,3,1,W,83.5,442,2.0,2.0
36,TEAM CHENFENGZI,MIZI-MAIGO,away,1,3,L,67.5,352,,
36,TEAM SITH,MARIO GO,home,1,1,D,70.0,442,0.5,2.0
36,MARIO GO,TEAM SITH,away,1,1,D,71.5,442,2.0,
36,X-17,TEAM BRAUNA,home,4,1,W,86.0,343,,2.0
36,TEAM BRAUNA,X-17,away,1,4,L,66.5,343,,
